EmployeeKey,EmployeeID,Age,Gender,MaritalStatus,Department,JobRole,DistanceFromHome,Education,EducationField,BusinessTravel,Attrition,MonthlyIncome,PercentSalaryHike,StockOptionLevel,PerformanceRating,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,JobInvolvement,RelationshipSatisfaction,OverTime,JobLevel,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,ManagerChangesLast2Yrs,NumCompaniesWorked,TotalWorkingYears,TrainingTimesLastYear,MonthlyIncome_was_missing,YearsSinceLastPromotion_was_missing,ManagerChangesLast2Yrs_was_missing
100000,E100000,56,Female,Married,Research & Development,Research Scientist,24,3,Other,Travel_Rarely,Yes,11577.0,13.0,0.0,3.0,3.0,4.0,1.0,3.0,4.0,No,3,4,3,0.0,2,1.0,1,7,3,0,0,0
100001,E100001,46,Female,Divorced,Sales,Sales Representative,13,3,Medical,Travel_Rarely,No,11202.0,20.0,1.0,3.0,4.0,1.0,1.0,2.0,4.0,No,2,1,0,0.0,0,0.0,0,13,5,0,0,0
100002,E100002,32,Female,Married,Research & Development,Healthcare Representative,26,3,Life Sciences,Travel_Rarely,No,6823.0,15.0,2.0,4.0,2.0,3.0,4.0,3.0,3.0,No,1,8,3,2.0,4,0.0,6,11,2,0,0,0
100003,E100003,60,Female,Married,Research & Development,Manager,29,1,Human Resources,Travel_Frequently,No,17324.0,23.0,1.0,3.0,4.0,1.0,1.0,4.0,4.0,No,5,0,0,0.0,0,0.0,0,12,4,0,0,0
100004,E100004,25,Female,Married,Research & Development,Manufacturing Director,19,4,Life Sciences,Travel_Rarely,No,14529.0,23.0,2.0,3.0,3.0,4.0,2.0,4.0,1.0,Yes,3,5,3,0.0,2,0.0,2,8,6,0,0,0
100005,E100005,38,Female,Single,Sales,Manager,17,2,Medical,Travel_Rarely,No,12553.0,17.0,0.0,3.0,1.0,4.0,2.0,2.0,3.0,Yes,3,0,0,0.0,0,0.0,3,2,0,0,0,0
100006,E100006,56,Female,Married,Sales,Sales Representative,11,3,Human Resources,Travel_Rarely,No,9702.0,18.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,No,2,4,2,0.0,2,0.0,1,11,1,0,0,0
100007,E100007,36,Female,Married,Research & Development,Healthcare Representative,28,3,Human Resources,Travel_Rarely,Yes,15956.0,17.0,0.0,3.0,1.0,4.0,4.0,2.0,1.0,No,4,9,8,1.0,4,0.0,6,12,1,0,0,0
100008,E100008,40,Unknown,Single,Research & Development,Healthcare Representative,28,1,Other,Non-Travel,No,18910.0,17.0,3.0,3.0,4.0,1.0,3.0,3.0,2.0,No,5,7,3,0.0,1,0.0,4,14,5,0,0,0
100009,E100009,28,Female,Married,Sales,Sales Representative,8,2,Life Sciences,Travel_Frequently,No,16753.0,21.0,1.0,3.0,2.0,1.0,3.0,1.0,4.0,No,4,6,4,1.0,2,1.0,0,14,3,0,0,0
100010,E100010,28,Female,Married,Sales,Sales Representative,23,4,Other,Travel_Rarely,Yes,11850.0,25.0,2.0,4.0,1.0,2.0,1.0,2.0,3.0,Yes,3,3,2,0.0,1,0.0,7,3,3,0,0,0
100011,E100011,41,Male,Divorced,Research & Development,Laboratory Technician,29,5,Technical Degree,Travel_Frequently,No,18563.0,12.0,3.0,3.0,1.0,4.0,3.0,2.0,1.0,No,4,11,6,1.0,5,2.0,9,25,2,0,0,0
100012,E100012,53,Female,Divorced,Research & Development,Research Scientist,5,1,Life Sciences,Travel_Rarely,No,7076.0,16.0,2.0,4.0,1.0,4.0,4.0,3.0,3.0,No,1,4,3,2.0,3,0.0,6,7,3,0,0,0
100013,E100013,57,Female,Single,Human Resources,Human Resources,10,4,Life Sciences,Travel_Rarely,No,21615.0,15.0,3.0,4.0,1.0,2.0,2.0,2.0,1.0,No,5,12,5,3.0,3,0.0,3,17,4,0,0,0
100014,E100014,41,Male,Married,Research & Development,Healthcare Representative,7,5,Technical Degree,Travel_Rarely,Yes,15482.0,21.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,No,4,3,1,0.0,0,2.0,1,10,1,0,0,0
100015,E100015,20,Female,Married,Research & Development,Healthcare Representative,10,3,Medical,Travel_Rarely,No,7685.0,25.0,2.0,3.0,3.0,2.0,4.0,3.0,1.0,No,1,3,2,1.0,1,0.0,6,16,2,0,0,0
100016,E100016,39,Male,Divorced,Sales,Manager,4,3,Medical,Travel_Rarely,Yes,13611.0,,,,,,,,,,2,1,0,0.0,0,1.0,1,6,6,1,0,0
100017,E100017,19,Male,Single,Research & Development,Laboratory Technician,9,2,Human Resources,Travel_Frequently,Yes,14780.0,22.0,3.0,3.0,3.0,4.0,1.0,3.0,1.0,No,4,3,2,0.0,1,1.0,5,14,3,0,0,0
100018,E100018,41,Female,Married,Research & Development,Laboratory Technician,27,5,Unknown,Travel_Frequently,No,16683.0,20.0,0.0,3.0,3.0,1.0,2.0,1.0,1.0,Yes,5,0,0,0.0,0,0.0,0,5,0,0,0,0
100019,E100019,47,Male,Married,Research & Development,Manager,26,3,Other,Non-Travel,No,8114.0,21.0,0.0,3.0,3.0,1.0,3.0,1.0,3.0,No,1,10,5,5.0,3,0.0,6,19,1,0,0,0
100020,E100020,55,Female,Single,Research & Development,Laboratory Technician,14,3,Marketing,Non-Travel,No,16938.0,14.0,0.0,3.0,4.0,1.0,3.0,2.0,2.0,Yes,4,5,2,2.0,3,0.0,6,8,2,0,0,0
100021,E100021,19,Female,Single,Sales,Manager,2,2,Human Resources,Travel_Rarely,No,11746.0,22.0,0.0,3.0,3.0,4.0,2.0,3.0,4.0,Yes,2,25,6,11.0,20,0.0,3,33,1,0,0,0
100022,E100022,38,Male,Married,Sales,Manager,25,4,Marketing,Travel_Rarely,No,17198.0,17.0,2.0,4.0,4.0,3.0,2.0,1.0,3.0,Yes,4,0,0,0.0,0,1.0,3,6,4,0,0,0
100023,E100023,50,Male,Married,Research & Development,Manufacturing Director,9,3,Unknown,Travel_Rarely,Yes,7703.0,21.0,0.0,4.0,4.0,4.0,1.0,4.0,3.0,Yes,1,1,0,0.0,0,1.0,9,14,5,0,0,0
100024,E100024,29,Male,Single,Sales,Manager,21,1,Life Sciences,Non-Travel,No,19947.0,18.0,0.0,3.0,3.0,4.0,4.0,2.0,1.0,No,4,10,4,4.0,4,0.0,4,20,3,0,0,0
100025,E100025,39,Female,Married,Sales,Sales Executive,27,1,Technical Degree,Travel_Rarely,No,17419.0,24.0,0.0,4.0,4.0,4.0,3.0,1.0,3.0,No,5,2,0,0.0,1,0.0,1,7,5,0,0,0
100026,E100026,42,Female,Married,Human Resources,Manager,1,4,Technical Degree,Travel_Rarely,No,13399.0,16.0,2.0,3.0,1.0,4.0,1.0,1.0,3.0,No,3,3,1,0.0,0,0.0,8,3,6,0,0,0
