EmployeeID,Age,Gender,MaritalStatus,Department,DistanceFromHome,Education,EducationField,JobRole,JobLevel,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,NumCompaniesWorked,TotalWorkingYears,ManagerChangesLast2Yrs,MonthlyIncome,PercentSalaryHike,StockOptionLevel,OverTime,BusinessTravel,EnvironmentSatisfaction,JobSatisfaction,RelationshipSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,TrainingTimesLastYear,Attrition
E100000,56,Female,Married,Research & Development,24,3,Other,Research Scientist,3,4,3,0,2,1,7,1,11577,13,0,No,Travel_Rarely,4,3,4,1,3,3,3,Yes
E100001,46,Female,Divorced,Sales,13,3,Medical,Sales Representative,2,1,0,0,0,0,13,0,11202,20,1,No,Travel_Rarely,1,4,4,1,2,3,5,No
E100002,32,Female,Married,Research & Development,26,3,Life Sciences,Healthcare Representative,1,8,3,2,4,6,11,0,6823,15,2,No,Travel_Rarely,3,2,3,4,3,4,2,No
E100003,60,Female,Married,Research & Development,29,1,Human Resources,Manager,5,0,0,0,0,0,12,0,17324,23,1,No,Travel_Frequently,1,4,4,1,4,3,4,No
E100004,25,Female,Married,Research & Development,19,4,Life Sciences,Manufacturing Director,3,5,3,0,2,2,8,0,14529,23,2,Yes,Travel_Rarely,4,3,1,2,4,3,6,No
E100005,38,Female,Single,Sales,17,2,Medical,Manager,3,0,0,0,0,3,2,0,12553,17,0,Yes,Travel_Rarely,4,1,3,2,2,3,0,No
E100006,56,Female,Married,Sales,11,3,Human Resources,Sales Representative,2,4,2,0,2,1,11,0,9702,18,1,No,Travel_Rarely,1,1,2,1,3,3,1,No
E100007,36,Female,Married,Research & Development,28,3,Human Resources,Healthcare Representative,4,9,8,1,4,6,12,0,15956,17,0,No,Travel_Rarely,4,1,1,4,2,3,1,Yes
E100008,40,Female,Single,Research & Development,28,1,Other,Healthcare Representative,5,7,3,0,1,4,14,0,18910,17,3,No,Non-Travel,1,4,2,3,3,3,5,No
E100009,28,Female,Married,Sales,8,2,Life Sciences,Sales Representative,4,6,4,1,2,0,14,1,16753,21,1,No,Travel_Frequently,1,2,4,3,1,3,3,No
E100010,28,Female,Married,Sales,23,4,Other,Sales Representative,3,3,2,0,1,7,3,0,11850,25,2,Yes,Travel_Rarely,2,1,3,1,2,4,3,Yes
E100011,41,Male,Divorced,Research & Development,29,5,Technical Degree,Laboratory Technician,4,11,6,1,5,9,25,2,18563,12,3,No,Travel_Frequently,4,1,1,3,2,3,2,No
E100012,53,Female,Divorced,Research & Development,5,1,Life Sciences,Research Scientist,1,4,3,2,3,6,7,0,7076,16,2,No,Travel_Rarely,4,1,3,4,3,4,3,No
E100013,57,Female,Single,Human Resources,10,4,Life Sciences,Human Resources,5,12,5,3,3,3,17,0,21615,15,3,No,Travel_Rarely,2,1,1,2,2,4,4,No
