,Odds_Ratio,OR_low_95%,OR_high_95%,p_value
Intercept,12.04,5.185572844190695,27.954199892516044,0.0
OverTime_bin,2.821,2.1071339346694424,3.77585921416055,0.0
FreqTravel_bin,1.709,1.225224690877607,2.3826590724366516,0.0016
Single_bin,1.568,1.1761657132543006,2.090703646661472,0.0022
YearsAtCompany,0.882,0.8479562719338071,0.9182108183468703,0.0
JobSatisfaction,0.767,0.6784378126306786,0.8679820960444834,0.0
WorkLifeBalance,0.746,0.6563503438475694,0.8485297955708856,0.0
EnvironmentSatisfaction,0.769,0.6755421934867041,0.8751743465389971,0.0001
ManagerChangesLast2Yrs,1.411,1.1960099511351132,1.6651726397761029,0.0
MonthlyIncome,1.0,0.9998910422068733,0.9999528324844178,0.0
Age,0.968,0.9571560786571063,0.9791098447422079,0.0
