EmployeeID,Age,Gender,MaritalStatus,Department,JobRole,DistanceFromHome,Education,EducationField,BusinessTravel,Attrition
E100000,56,Female,Married,Research & Development,Research Scientist,24,3,Other,Travel_Rarely,Yes
E100001,46,Female,Divorced,sales ,Sales Representative,13,3,Medical,Travel_Rarely,No
E100002,32,Female,Married,research & development ,Healthcare Representative,26,3,Life Sciences,Travel_Rarely,No
E100003,60,Female,Married,Research & Development,Manager,29,1,Human Resources,Travel_Frequently,No
E100004,25,Female,Married,R&D,Manufacturing Director,19,4,Life Sciences,Travel_Rarely,No
E100005,38,Female,Single,SALES,Manager,17,2,Medical,Travel_Rarely,No
E100006,56,Female,Married,Sales,Sales Representative,11,3,Human Resources,Travel_Rarely,No
E100007,36,Female,Married,R&D,Healthcare Representative,28,3,Human Resources,Travel_Rarely,Yes
E100008,40,,Single,research & development ,Healthcare Representative,28,1,Other,Non-Travel,No
E100009,28,Female,Married,SALES,Sales Representative,8,2,Life Sciences,Travel_Frequently,No
E100010,28,Female,Married,SALES,Sales Representative,23,4,Other,Travel_Rarely,Yes
E100011,41,Male,Divorced,Research & Development,Laboratory Technician,29,5,Technical Degree,Travel_Frequently,No
E100012,53,Female,Divorced,research & development ,Research Scientist,5,1,Life Sciences,Travel_Rarely,No
E100013,57,Female,Single,Human Resources,Human Resources,10,4,Life Sciences,Travel_Rarely,No
E100014,41,Male,Married,Research & Development,Healthcare Representative,7,5,Technical Degree,Travel_Rarely,Yes
E100015,20,Female,Married,Research & Development,Healthcare Representative,10,3,Medical,Travel_Rarely,No
E100016,39,Male,Divorced,Sales,Manager,4,3,Medical,Travel_Rarely,Yes
E100017,19,Male,Single,research & development ,Laboratory Technician,9,2,Human Resources,Travel_Frequently,Yes
E100018,41,Female,Married,research & development ,Laboratory Technician,27,5,,Travel_Frequently,No
E100019,47,Male,Married,Research & Development,Manager,26,3,Other,Non-Travel,No
E100020,55,Female,Single,Research & Development,Laboratory Technician,14,3,Marketing,Non-Travel,No
E100021,19,Female,Single,sales ,Manager,2,2,Human Resources,Travel_Rarely,No
E100022,38,Male,Married,Sales,Manager,25,4,Marketing,Travel_Rarely,No
E100023,50,Male,Married,Research & Development,Manufacturing Director,9,3,,Travel_Rarely,Yes
E100024,29,Male,Single,sales ,Manager,21,1,Life Sciences,Non-Travel,No
E100025,39,Female,Married,Sales,Sales Executive,27,1,Technical Degree,Travel_Rarely,No
E100026,42,Female,Married,HR,Manager,1,4,Technical Degree,Travel_Rarely,No
E100027,44,Female,Married,Research & Development,Manufacturing Director,23,5,Human Resources,Travel_Frequently,No
E100028,59,Male,Single,research & development ,Laboratory Technician,10,2,Human Resources,Travel_Rarely,No
E100029,45,Female,Divorced,Research & Development,Manufacturing Director,10,1,Human Resources,Non-Travel,No
E100030,33,Male,Single,HR,Manager,20,1,Life Sciences,Travel_Frequently,Yes
E100031,32,Female,Married,research & development ,Manager,25,4,Marketing,Travel_Rarely,No
E100032,20,Male,Single,research & development ,Laboratory Technician,22,5,Other,Travel_Rarely,No
E100033,54,Female,Single,Research & Development,Manufacturing Director,29,5,Human Resources,Travel_Rarely,No
E100034,24,Male,Married,research & development ,Healthcare Representative,3,4,Human Resources,Travel_Frequently,No
E100035,38,Female,Single,R&D,Laboratory Technician,6,1,Life Sciences,Travel_Rarely,Yes
E100036,26,Male,Divorced,Research & Development,Laboratory Technician,29,2,Other,Non-Travel,No
E100037,56,Female,Single,Research & Development,Healthcare Representative,26,1,Life Sciences,Travel_Frequently,No
E100038,35,Female,Married,R&D,Laboratory Technician,6,5,Other,Travel_Rarely,No
E100039,21,Male,Married,Sales,Manager,21,1,Life Sciences,Travel_Frequently,No
E100040,42,Female,Single,Research & Development,Laboratory Technician,2,2,Marketing,Travel_Rarely,No
E100041,31,Female,Single,SALES,Manager,26,3,Human Resources,Travel_Frequently,Yes
E100042,26,Male,Married,R&D,Healthcare Representative,26,1,Medical,Travel_Rarely,Yes
E100043,43,Male,Married,Research & Development,Research Scientist,18,4,Medical,Travel_Frequently,Yes
E100044,19,Female,Married,Research & Development,Healthcare Representative,23,3,Human Resources,Travel_Frequently,No
E100045,37,Male,Married,Research & Development,Manufacturing Director,2,4,Human Resources,Travel_Frequently,No
E100046,45,Male,Married,research & development ,Manager,12,4,Human Resources,Travel_Rarely,No
E100047,24,Male,Single,R&D,Healthcare Representative,22,4,Human Resources,Travel_Frequently,Yes
E100048,25,Female,Married,Research & Development,Manager,5,1,Other,Travel_Rarely,No
E100049,52,Male,Divorced,R&D,Manager,20,5,Marketing,Non-Travel,No
E100050,31,Female,Married,Sales,Manager,7,3,Medical,Travel_Frequently,Yes
E100051,34,Female,Married,Sales,Manager,24,2,Technical Degree,Travel_Rarely,No
E100052,53,Female,Single,sales ,Manager,16,5,Medical,Travel_Rarely,No
E100053,57,Female,Married,Research & Development,Research Scientist,20,1,Medical,Travel_Rarely,No
E100054,21,Male,Married,R&D,Laboratory Technician,1,4,Life Sciences,Travel_Rarely,No
E100055,19,Female,Married,R&D,Healthcare Representative,1,2,Human Resources,Travel_Rarely,No
E100056,23,Male,Divorced,Sales,Manager,17,3,Human Resources,Travel_Rarely,No
E100057,59,Male,Single,sales ,Sales Representative,27,5,Human Resources,Travel_Rarely,No
E100058,21,Male,Single,human resources,Manager,1,5,Life Sciences,Travel_Rarely,No
E100059,46,Male,Married,sales ,Manager,21,2,Marketing,Travel_Frequently,No
E100060,35,Female,Divorced,R&D,Manager,20,1,Marketing,Travel_Rarely,No
E100061,43,Female,Single,R&D,Laboratory Technician,13,3,Technical Degree,Travel_Rarely,Yes
E100062,51,Male,Single,R&D,Research Scientist,9,2,Marketing,Travel_Rarely,No
E100063,27,Male,Single,sales ,Sales Representative,15,4,Marketing,Non-Travel,No
E100064,53,Female,Single,SALES,Sales Executive,3,3,Human Resources,Travel_Rarely,No
E100065,31,Male,Married,SALES,Sales Representative,14,5,Other,Non-Travel,No
E100066,48,Male,Married,research & development ,Manufacturing Director,23,2,Medical,Travel_Rarely,No
E100067,32,Male,Married,R&D,Healthcare Representative,11,5,Marketing,Travel_Rarely,Yes
E100068,25,Female,Married,SALES,Sales Representative,24,5,Marketing,Travel_Rarely,Yes
E100069,31,Female,Single,Research & Development,Research Scientist,22,5,Life Sciences,Travel_Rarely,Yes
E100070,40,Male,Single,Research & Development,Laboratory Technician,12,1,Technical Degree,Travel_Frequently,No
E100071,57,Male,Married,sales ,Manager,13,5,Other,Non-Travel,No
E100072,38,,Divorced,R&D,Healthcare Representative,26,4,Life Sciences,Travel_Rarely,No
E100073,33,Female,Divorced,R&D,Healthcare Representative,13,4,Human Resources,Travel_Frequently,No
E100074,35,Male,Single,Sales,Manager,1,3,Medical,Travel_Frequently,Yes
E100075,41,Female,Divorced,research & development ,Research Scientist,24,5,Technical Degree,Travel_Rarely,No
E100076,43,Male,Divorced,research & development ,Healthcare Representative,10,5,Life Sciences,Travel_Rarely,No
E100077,42,Male,Divorced,Research & Development,Research Scientist,3,2,Marketing,Non-Travel,No
E100078,58,Female,Married,Research & Development,Laboratory Technician,24,1,Marketing,Travel_Rarely,No
E100079,46,Male,Married,R&D,Research Scientist,28,3,Technical Degree,Travel_Rarely,No
E100080,32,Female,Single,Research & Development,Research Scientist,4,5,Marketing,Non-Travel,No
E100081,18,Male,Single,Research & Development,Healthcare Representative,16,2,Life Sciences,Travel_Frequently,Yes
E100082,42,Male,Single,Research & Development,Manager,8,1,Life Sciences,Travel_Rarely,No
E100083,24,Female,Single,Research & Development,Manager,16,3,Marketing,Non-Travel,No
E100084,26,Male,Married,SALES,Manager,27,3,Marketing,Travel_Rarely,No
E100085,41,Female,Married,research & development ,Manufacturing Director,17,5,Human Resources,Travel_Rarely,No
