EmployeeID,MonthlyIncome,PercentSalaryHike,StockOptionLevel,PerformanceRating,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,JobInvolvement,RelationshipSatisfaction,OverTime
EMP-100000,11577.0,13,0,3,3,4,1,3,4,no
EMP-100001,11202.0,20,1,3,4,1,1,2,4,no
EMP-100002,6823.0,15,2,4,2,3,4,3,3,No
EMP-100003,17324.0,23,1,3,4,1,1,4,4,N
EMP-100004,14529.0,23,2,3,3,4,2,4,1,yes
EMP-100005,12553.0,17,0,3,1,4,2,2,3,yes
EMP-100006,9702.0,18,1,3,1,1,1,3,2,no
EMP-100007,15956.0,17,0,3,1,4,4,2,1,FALSE
EMP-100008,18910.0,17,3,3,4,1,3,3,2,N
EMP-100009,16753.0,21,1,3,2,1,3,1,4,no
EMP-100010,11850.0,25,2,4,1,2,1,2,3,Y
EMP-100011,18563.0,12,3,3,1,4,3,2,1,N
EMP-100012,7076.0,16,2,4,1,4,4,3,3,N
EMP-100013,21615.0,15,3,4,1,2,2,2,1,N
EMP-100014,15482.0,21,2,3,3,2,2,1,1,N
EMP-100015,7685.0,25,2,3,3,2,4,3,1,no
EMP-100017,14780.0,22,3,3,3,4,1,3,1,N
EMP-100018,16683.0,20,0,3,3,1,2,1,1,Yes
EMP-100019,8114.0,21,0,3,3,1,3,1,3,FALSE
EMP-100020,16938.0,14,0,3,4,1,3,2,2,Yes
EMP-100021,11746.0,22,0,3,3,4,2,3,4,TRUE
EMP-100022,17198.0,17,2,4,4,3,2,1,3,yes
EMP-100023,7703.0,21,0,4,4,4,1,4,3,TRUE
EMP-100024,19947.0,18,0,3,3,4,4,2,1,No
EMP-100025,17419.0,24,0,4,4,4,3,1,3,No
EMP-100026,13399.0,16,2,3,1,4,1,1,3,N
EMP-100027,6038.0,13,3,3,2,4,2,1,4,No
EMP-100028,7524.0,21,2,3,3,3,4,2,3,Y
EMP-100029,6519.0,15,2,3,3,2,4,1,1,no
EMP-100030,7944.0,11,2,3,2,1,3,1,4,Y
EMP-100031,18735.0,24,3,3,3,4,4,4,3,yes
EMP-100032,16872.0,23,0,3,3,4,2,4,1,Yes
EMP-100033,10644.0,18,0,3,2,4,2,4,4,No
EMP-100034,19016.0,22,3,4,4,1,2,1,3,yes
EMP-100035,7404.0,22,3,4,1,3,1,4,1,No
EMP-100036,14238.0,22,1,3,4,1,2,3,4,FALSE
EMP-100037,16821.0,21,0,3,1,3,1,4,1,No
EMP-100038,9053.0,12,2,3,2,2,2,4,4,N
EMP-100039,17487.0,23,2,3,4,4,2,1,3,No
EMP-100040,6288.0,20,0,3,4,3,4,3,2,No
EMP-100041,21343.0,17,3,3,1,1,3,4,4,Yes
EMP-100042,11772.0,19,1,4,1,3,2,1,3,N
EMP-100043,17824.0,11,2,3,1,3,4,3,4,TRUE
EMP-100044,6593.0,23,1,3,1,2,4,4,2,No
EMP-100045,7691.0,14,2,3,3,4,3,1,1,no
EMP-100046,17769.0,17,2,3,2,4,4,3,2,no
EMP-100047,9292.0,24,0,3,1,1,4,4,2,No
EMP-100048,6959.0,19,2,3,4,1,3,3,1,yes
EMP-100049,14791.0,12,1,3,4,2,1,3,2,N
EMP-100050,6919.0,12,1,3,4,3,3,1,3,N
EMP-100051,11713.0,16,0,3,1,3,3,2,4,no
EMP-100052,16028.0,13,2,3,2,1,2,3,2,Yes
EMP-100053,12770.0,14,1,3,3,4,2,3,4,FALSE
EMP-100054,19252.0,13,3,3,1,3,1,3,4,N
EMP-100055,18753.0,23,0,4,1,2,3,3,1,no
EMP-100056,10934.0,11,3,3,3,1,3,3,2,FALSE
EMP-100057,14100.0,24,1,3,2,3,1,2,1,No
EMP-100058,7774.0,24,3,3,1,4,2,1,1,N
EMP-100059,13602.0,16,0,3,4,4,3,2,4,No
EMP-100060,10598.0,21,3,3,4,2,1,1,3,FALSE
EMP-100061,10869.0,21,1,3,1,2,2,2,4,No
EMP-100062,11468.0,23,3,3,2,1,4,1,1,No
EMP-100063,17999.0,12,3,3,4,1,1,4,2,Y
EMP-100064,16225.0,12,3,3,4,4,1,3,3,N
EMP-100065,8936.0,17,2,3,3,4,3,1,3,FALSE
EMP-100066,11343.0,15,1,3,2,3,4,1,2,no
EMP-100067,9576.0,18,3,3,1,3,2,3,2,Y
EMP-100068,17155.0,24,1,3,3,3,4,4,3,N
EMP-100070,17228.0,23,0,3,3,2,3,1,3,N
EMP-100071,18739.0,20,0,3,2,3,2,1,3,Yes
EMP-100072,9005.0,18,0,3,2,4,2,3,3,Y
EMP-100073,19922.0,17,3,3,2,1,2,2,1,No
EMP-100074,,23,1,3,1,2,3,3,2,no
EMP-100075,23264.0,20,0,3,2,2,2,1,2,no
