EmployeeID,JobLevel,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,ManagerChangesLast2Yrs,NumCompaniesWorked,TotalWorkingYears,TrainingTimesLastYear
100000,3,4,3,0,2,1.0,1,7,3
100001,2,1,0,0,0,0.0,0,13,5
100002,1,8,3,2,4,0.0,6,11,2
100003,5,0,0,0,0,0.0,0,12,4
100004,3,5,3,0,2,0.0,2,8,6
100005,3,0,0,0,0,0.0,3,2,0
100006,2,4,2,0,2,0.0,1,11,1
100007,4,9,8,1,4,0.0,6,12,1
100008,5,7,3,0,1,0.0,4,14,5
100009,4,6,4,1,2,1.0,0,14,3
100010,3,3,2,0,1,0.0,7,3,3
100011,4,11,6,1,5,2.0,9,25,2
100012,1,4,3,2,3,0.0,6,7,3
100013,5,12,5,3,3,0.0,3,17,4
100014,4,3,1,0,0,2.0,1,10,1
100015,1,3,2,1,1,0.0,6,16,2
100016,2,1,0,0,0,1.0,1,6,6
100017,4,3,2,0,1,1.0,5,14,3
100018,5,0,0,0,0,0.0,0,5,0
100019,1,10,5,5,3,0.0,6,19,1
100020,4,5,2,2,3,0.0,6,8,2
100021,2,25,6,11,20,0.0,3,33,1
100022,4,0,0,0,0,1.0,3,6,4
100023,1,1,0,0,0,1.0,9,14,5
100024,4,10,4,4,4,0.0,4,20,3
100025,5,2,0,0,1,0.0,1,7,5
100026,3,3,1,0,0,0.0,8,3,6
100027,1,9,8,0,6,1.0,9,10,3
100028,1,3,2,1,1,0.0,3,14,3
100029,1,1,0,0,0,0.0,8,6,6
100030,1,11,9,6,9,0.0,2,21,0
100031,4,0,0,0,0,1.0,8,14,4
100032,5,11,10,4,10,1.0,0,11,0
100033,2,0,0,0,0,0.0,6,14,6
100034,5,5,2,0,3,0.0,3,19,4
100035,1,0,0,0,0,1.0,6,10,4
100036,4,6,2,1,5,0.0,9,10,6
100037,4,0,0,0,0,0.0,5,0,4
100038,1,9,7,2,2,0.0,3,21,3
100039,4,3,2,0,1,0.0,3,5,6
100040,1,0,0,0,0,0.0,7,11,3
100041,5,6,2,2,5,0.0,6,17,3
100042,3,3,1,0,2,0.0,3,14,0
100043,4,1,0,0,0,0.0,5,7,2
100044,1,0,0,0,0,0.0,5,4,5
100045,1,2,1,0,1,1.0,0,16,6
100046,4,0,0,0,0,1.0,1,11,6
100047,2,0,0,0,0,1.0,3,14,6
100048,1,1,0,0,0,1.0,5,10,4
100049,4,4,2,2,2,0.0,5,4,6
100050,1,3,2,0,2,1.0,0,3,6
100051,2,0,0,0,0,1.0,7,14,0
100052,3,17,15,4,6,0.0,1,24,3
100053,2,10,7,2,7,0.0,4,20,5
100054,5,1,0,0,0,1.0,3,14,3
100055,4,0,0,0,0,1.0,4,12,2
100056,2,14,6,6,9,1.0,4,22,3
100057,3,3,1,0,1,0.0,9,9,4
100058,1,1,0,-1,0,0.0,7,13,1
100059,4,3,1,0,2,0.0,9,5,6
100060,2,7,4,2,5,0.0,6,18,5
100061,3,0,0,0,0,0.0,8,5,6
100062,2,7,5,2,1,0.0,0,9,3
100063,5,6,3,0,2,0.0,5,15,2
100064,4,3,1,0,2,,5,6,5
100065,1,10,2,3,9,0.0,1,21,1
100066,3,0,0,0,0,0.0,7,3,5
100067,2,4,1,0,3,,5,6,6
